file,device,color,state,sourceWidth,sourceHeight,contentX,contentY,contentWidth,contentHeight,outputSize,duplicateOf
OPPO Enco Air4 Pro__夜影灰__closed_case_001.png,OPPO Enco Air4 Pro,夜影灰,closed_case,1440,1440,234,393,982,757,982,
OPPO Enco Air4 Pro__夜影灰__earbuds_pair_001.png,OPPO Enco Air4 Pro,夜影灰,earbuds_pair,1440,1440,109,383,1245,814,1245,
OPPO Enco Air4 Pro__夜影灰__open_case_001.png,OPPO Enco Air4 Pro,夜影灰,open_case,1440,1440,219,351,1038,847,1038,
OPPO Enco Air4 Pro__夜影灰__open_case_002.png,OPPO Enco Air4 Pro,夜影灰,open_case,1440,1440,219,351,1038,847,,OPPO Enco Air4 Pro__夜影灰__open_case_001.png
OPPO Enco Air4 Pro__晨曦白__closed_case_001.png,OPPO Enco Air4 Pro,晨曦白,closed_case,1440,1440,234,393,982,757,982,
OPPO Enco Air4 Pro__晨曦白__earbuds_pair_001.png,OPPO Enco Air4 Pro,晨曦白,earbuds_pair,1440,1440,109,383,1243,814,1245,
OPPO Enco Air4 Pro__晨曦白__open_case_001.png,OPPO Enco Air4 Pro,晨曦白,open_case,1440,1440,219,351,1038,847,1038,
OPPO Enco Air4 Pro__晨曦白__open_case_002.png,OPPO Enco Air4 Pro,晨曦白,open_case,1440,1440,219,351,1038,847,,OPPO Enco Air4 Pro__晨曦白__open_case_001.png
OPPO Enco Air4 新声版__云雾黑__earbuds_pair_001.png,OPPO Enco Air4 新声版,云雾黑,earbuds_pair,1440,1440,245,477,965,719,965,
OPPO Enco Air4 新声版__云雾黑__open_case_001.png,OPPO Enco Air4 新声版,云雾黑,open_case,1440,1440,345,465,720,780,887,
OPPO Enco Air4 新声版__云雾黑__open_case_002.png,OPPO Enco Air4 新声版,云雾黑,open_case,1440,1440,307,306,793,858,,OPPO Enco Air4 新声版__云雾黑__open_case_001.png
OPPO Enco Air4 新声版__冰透绿__closed_case_001.png,OPPO Enco Air4 新声版,冰透绿,closed_case,1440,1440,349,482,747,751,751,
OPPO Enco Air4 新声版__冰透绿__open_case_001.png,OPPO Enco Air4 新声版,冰透绿,open_case,1440,1440,323,429,795,858,887,
OPPO Enco Air4 新声版__冰透绿__open_case_002.png,OPPO Enco Air4 新声版,冰透绿,open_case,1440,1440,323,304,795,858,,OPPO Enco Air4 新声版__冰透绿__open_case_001.png
OPPO Enco Air4 新声版__排球少年!! 联名耳机__open_case_001.png,OPPO Enco Air4 新声版,排球少年!! 联名耳机,open_case,1440,1440,302,417,836,887,887,
OPPO Enco Air4 新声版__润玉白__closed_case_001.png,OPPO Enco Air4 新声版,润玉白,closed_case,1440,1440,349,482,746,750,751,
OPPO Enco Air4 新声版__润玉白__open_case_001.png,OPPO Enco Air4 新声版,润玉白,open_case,1440,1440,323,429,795,858,887,
OPPO Enco Air4 新声版__润玉白__open_case_002.png,OPPO Enco Air4 新声版,润玉白,open_case,1440,1440,323,304,795,858,,OPPO Enco Air4 新声版__润玉白__open_case_001.png
OPPO Enco Air4__春绿__earbuds_pair_001.png,OPPO Enco Air4,春绿,earbuds_pair,1440,1440,153,407,1154,756,1154,
OPPO Enco Air4__春绿__earbuds_with_case_001.png,OPPO Enco Air4,春绿,earbuds_with_case,1440,1440,294,224,860,1120,1120,
OPPO Enco Air4__春绿__earbuds_with_case_002.png,OPPO Enco Air4,春绿,earbuds_with_case,1440,1440,294,224,860,1120,,OPPO Enco Air4__春绿__earbuds_with_case_001.png
OPPO Enco Air4__春绿__open_case_001.png,OPPO Enco Air4,春绿,open_case,1440,1440,219,351,1038,848,1038,
